Type,Sound File Name,Text to Paste,Category,Vibe / Keywords,Speaker Details
In-Game,,(Air Horn),SFX & UI,"Hype, Loud, Alert, DJ",N/A
In-Game,,(Alert),SFX & UI,"Alarm, Attention, Danger",N/A
In-Game,,(Baby Cries),Human Vocals,"Sad, Annoying, Whining",Baby
In-Game,,(Beep),SFX & UI,"System, Electronic, Short",N/A
In-Game,,(Bell),SFX & UI,"Chime, Ring, Ding",N/A
In-Game,,(Bite),SFX & UI,"Crunch, Eating, Chomp",N/A
In-Game,,(Bloop),SFX & UI,"Bubble, UI, Cartoon",N/A
In-Game,,(Boing),SFX & UI,"Spring, Jump, Cartoon, Funny",N/A
In-Game,,(Bomb Dropping),SFX & UI,"Danger, Falling, Explosion",N/A
In-Game,,(Bruh),Internet & Memes,"Disbelief, Exhausted, Disappointment",Male
In-Game,,(Burp),Human Vocals,"Gross, Disgusting, Rude",
In-Game,,(Buzzer),SFX & UI,"Wrong, Fail, Time Out",N/A
In-Game,,(Car Horn),SFX & UI,"Traffic, Angry, Alert",N/A
In-Game,,(Cartoon Bong),SFX & UI,"Hit, Bonk, Goofy, Comedy",N/A
In-Game,,(Cartoon Fall),SFX & UI,"Whistle, Drop, Descending",N/A
In-Game,,(Cartoon Laugh),Human Vocals,"Goofy, Giggle, Funny, Retro",
In-Game,,(Cartoon Run),SFX & UI,"Fast, Scramble, Slipping, Feet",N/A
In-Game,,(Cartoon Slip),SFX & UI,"Trip, Fall, Slide",N/A
In-Game,,(Cartoon Squirt),SFX & UI,"Splash, Liquid, Slime",N/A
In-Game,,(Cat),SFX & UI,"Meow, Animal, Pet",N/A
In-Game,,(Censored),SFX & UI,"Bleep, Profanity, TV",N/A
In-Game,,(Chainsaw),SFX & UI,"Horror, Engine, Weapon, Loud",N/A
In-Game,,(Clapping),Crowd & Atmosphere,"Applause, Approval, Good Job",Crowd
In-Game,,(Clock),SFX & UI,"Ticking, Time, Tension, Waiting",N/A
In-Game,,(Crickets),Crowd & Atmosphere,"Silence, Awkward, Unfunny, Bombing",N/A
In-Game,,(Crowd Excited),Crowd & Atmosphere,"Hype, Cheering, Celebration",Crowd
In-Game,,(Crowd Laughing),Crowd & Atmosphere,"Comedy, Chuckle, Giggle, Sitcom",Crowd
In-Game,,(Dance Music),Music Cues,"Club, Party, Electronic, Beat",N/A
In-Game,,(Dog),SFX & UI,"Bark, Animal, Pet",N/A
In-Game,,(Dramatic),Music Cues,"Sting, Shocked, Suspense, Reveal",N/A
In-Game,,(Drum Roll),SFX & UI,"Anticipation, Waiting, Intro",N/A
In-Game,,(Explosion),SFX & UI,"Boom, Loud, Danger, Destruction",N/A
In-Game,,(Fart Reverb),SFX & UI,"Gross, Funny, Echo, Loud, Bass",N/A
In-Game,,(Fart),SFX & UI,"Gross, Funny, Classic",N/A
In-Game,,(Female Crying),Human Vocals,"Sad, Emotional, Sobbing",Female
In-Game,,(Female Gasp),Human Vocals,"Shocked, Surprised, Inhale",Female
In-Game,,(Female Scream),Human Vocals,"Panic, Scared, Horror, Loud",Female
In-Game,,(Finish Him),Pop Culture & Media,"Mortal Kombat, Fighting, Ultimate, Win",Male
In-Game,,(Fish Gag),SFX & UI,"Choking, Gross, Vomit",N/A
In-Game,,(Foghorn Music),Music Cues,"Loud, Deep, Boat, Warning",N/A
In-Game,,(Game Over),Pop Culture & Media,"Arcade, Fail, Lose, Retro",N/A
In-Game,,(Glass Breaking),SFX & UI,"Smash, Crash, Damage",N/A
In-Game,,(Gun Burst),SFX & UI,"Shooting, Firearm, Action, Rapid",N/A
In-Game,,(Gun Cocking),SFX & UI,"Threat, Loading, Weapon, Action",N/A
In-Game,,(Gun Ricochet),SFX & UI,"Bullet, Ping, Action, Western",N/A
In-Game,,(Gun Shot),SFX & UI,"Firearm, Bang, Weapon, Action",N/A
In-Game,,(Jazz Bass),Music Cues,"Smooth, Walking, Seinfeld Vibe, Cool",N/A
In-Game,,(Kiss),Human Vocals,"Romance, Love, Smooch",
In-Game,,(Laser),SFX & UI,"Sci-Fi, Pew Pew, Retro, Space",N/A
In-Game,,(Liquid Pouring),SFX & UI,"Drink, Water, Splash",N/A
In-Game,,(Machine Gun),SFX & UI,"Rapid, Shooting, Firearm, Warfare",N/A
In-Game,,(Male Crying),Human Vocals,"Sad, Whining, Sobbing, Emotional",Male
In-Game,,(Male Gasp),Human Vocals,"Shocked, Surprised, Inhale",Male
In-Game,,(Male Scream),Human Vocals,"Panic, Loud, Terror, Scared",Male
In-Game,,(More You Know),Pop Culture & Media,"Educational, Meme, PSA, Star, Bright",N/A
In-Game,,(Noisemaker),SFX & UI,"Party, Celebration, New Years, Kazoo",N/A
In-Game,,(Peel Out),SFX & UI,"Car, Speed, Fast, Escape",N/A
In-Game,,(Phone),SFX & UI,"Ringing, Call, Retro, Landline",N/A
In-Game,,(Punch),SFX & UI,"Hit, Fight, Slap, Impact",N/A
In-Game,,(Ready Fight),Pop Culture & Media,"Arcade, Fighting, Mortal Kombat, Game",Male
In-Game,,(Record),SFX & UI,"Scratch, Pause, Awkward, Freeze Frame",N/A
In-Game,,(Rim Shot),SFX & UI,"Ba-Dum-Tish, Joke, Comedy, Unfunny",N/A
In-Game,,(Robotic Noise),SFX & UI,"Sci-Fi, Computer, Beep, Tech",N/A
In-Game,,(Sad Trombone),Music Cues,"Wah Wah Wah, Fail, Loser, Disappointment",N/A
In-Game,,(Shotgun Racking),SFX & UI,"Threat, Weapon, Pump, Action",N/A
In-Game,,(silence),SFX & UI,"Quiet, Awkward, Dead, Blank",N/A
In-Game,,(Siren),SFX & UI,"Police, Ambulance, Emergency, Alert",N/A
In-Game,,(Slap),SFX & UI,"Hit, Drama, Smack, Fight",N/A
In-Game,,(Sneeze),Human Vocals,"Achoo, Sick, Allergy",
In-Game,,(Splash),SFX & UI,"Water, Dive, Liquid, Drop",N/A
In-Game,,(Splat),SFX & UI,"Slime, Hit, Messy, Crash",N/A
In-Game,,(Suspense),Music Cues,"Tension, Thriller, Waiting, Scary",N/A
In-Game,,(Thunder),SFX & UI,"Weather, Storm, Dramatic, Scary",N/A
In-Game,,(Tire Screech),SFX & UI,"Brake, Car, Stop, Crash",N/A
In-Game,,(Tires Screech),SFX & UI,"Brake, Car, Stop, Crash",N/A
In-Game,,(Toilet Flushes),SFX & UI,"Gross, Bathroom, Water, Down the Drain",N/A
In-Game,,(Vomit),Human Vocals,"Gross, Disgusting, Sick, Puke",
In-Game,,(Whistle Down),SFX & UI,"Falling, Drop, Cartoon, Fail",N/A
In-Game,,(Whistle Up),SFX & UI,"Rising, Flying, Cartoon",N/A
In-Game,,(Wilhelm Scream),Pop Culture & Media,"Movie, Classic, Falling, Pain, Loud",Male
In-Game,,(Wow),Internet & Memes,"Owen Wilson, Surprised, Classic",Male
In-Game,,(Yay),Crowd & Atmosphere,"Cheering, Celebration, Happy",Crowd
In-Game,,(YeeHaw),Human Vocals,"Cowboy, Country, Western, Hype",
In-Game,,(Yeet),Internet & Memes,"Throw, Fast, Hype, High Energy",
In-Game,,(You Lose),Pop Culture & Media,"Game Over, Fail, Mocking, Arcade",
In-Game,,(Zombie),Pop Culture & Media,"Monster, Groan, Brains, Horror",
Custom Sound,a dirty old bitch.wav,(a dirty old bitch),Internet & Memes,"Insult, Petty, Drama, Shocked",Male
Custom Sound,A Few Moments Later.wav,(A Few Moments Later),Pop Culture & Media,"SpongeBob, Time Card, Narrator, Waiting","Male, French"
Custom Sound,a white man - no!.wav,(a white man - no!),Internet & Memes,"Reaction, Sarcastic, Shocked, Funny",male
Custom Sound,Aaahk - Chapelle.wav,(Aaahk - Chapelle),Pop Culture & Media,"Dave Chappelle, Choke, Gag, Shocked",Male
Custom Sound,add a litte bit of spice.wav,(add a litte bit of spice),Internet & Memes,"Chef, Upgrade, Accent, Cooking, Extra",Male
Custom Sound,ah shit.wav,(ah shit),Internet & Memes,"Regret, Annoyed, Swear",Male
Custom Sound,ah-shit-here-we-go-again.wav,(ah-shit-here-we-go-again),Pop Culture & Media,"GTA, CJ, Meme, Relatable, Exhausted",Male
Custom Sound,aint no thang.wav,(aint no thang),Internet & Memes,"Casual, Chill, No Problem",female
Custom Sound,aint nobody got time.wav,(aint nobody got time),Internet & Memes,"Sweet Brown, Viral, Busy, Exhausted",Female
Custom Sound,all day son.wav,(all day son),Internet & Memes,"Confident, Brag, Hype",Male
Custom Sound,all day.wav,(all day),Internet & Memes,"Confident, Continuous, Nonstop",
Custom Sound,am i the drama.wav,(am i the drama),Internet & Memes,"Scarlet Envy, Drag Queen, TikTok, Guilty",Male / Queen
Custom Sound,amen brotha.wav,(amen brotha),Human Vocals,"Agreement, Church, Truth, Hype",Male
Custom Sound,anime moan.wav,(anime-moan),Internet & Memes,,female
Custom Sound,anime-wow.wav,(anime-wow),Internet & Memes,"High Pitch, Cute, Otaku, Reaction",Female
Custom Sound,Another One - Khaled.wav,(Another One - Khaled),Internet & Memes,"DJ Khaled, Win, Success, Repeat",Male
Custom Sound,apparently.wav,(apparently),Internet & Memes,"Noah Ritter, Cute, Kid, News Interview","Male, Child"
